google_title,google_path,icloud_uuid,icloud_filepath,s1_name_match,s2_date_diff_seconds,s3_size_match,s4_dim_match,s5_is_original,s6_hash_db_match,s7_sha256_match,s8_phash_distance,google_geo_lat,google_geo_lon,icloud_lat,icloud_lon,gps_gap,composite_confidence
IMG_0352.HEIC,,BB743E8A-B25F-417F-8773-063CD3DC11DC,_/IMG_0352_edited (6).heic.xmp,True,177826803.8540001,,,Unknown,False,False,,29.2185,-81.0025,-180.0,-180.0,True,0.1
IMG_0126.HEIC,,69857ABD-9523-462A-AA64-16539AB12E5F,_/IMG_0126 (2).HEIC.xmp,True,115703380.85583949,,,Unknown,False,False,,28.371499999999997,-81.5187,-180.0,-180.0,True,0.1
IMG_0456.HEIC,,813CFBCB-CCED-4ECB-962E-436B9E9B21F3,_/IMG_0456_edited (5).heic.xmp,True,121806718.8979361,,,Unknown,False,False,,29.2184417,-81.0025778,-180.0,-180.0,True,0.1
IMG_2366.HEIC,,7C24EBC0-7DA2-4239-8252-3B6BD857E589,_/IMG_2366.HEIC.xmp,True,60912347.76085329,,,Unknown,False,False,,28.4082917,-81.4626528,-180.0,-180.0,True,0.1
IMG_1247.MOV,,7532DD2F-7112-4D14-8F35-32DCF134681C,_/IMG_1247 (5).MOV.xmp,True,219061760.0,,,Unknown,False,False,,27.949399999999997,-82.4615,-180.0,-180.0,True,0.1
IMG_0255.HEIC,,19D7EC77-BC70-4ECC-ADC2-CBF840BD03FC,_/IMG_0255_edited (6).heic.xmp,True,121828472.8852644,,,Unknown,False,False,,29.2355,-81.0108,-180.0,-180.0,True,0.1
IMG_3389.JPG,,E7A25E9A-DC8E-480F-A9D8-1F199FB87ACD,_/IMG_3389_edited (2).jpeg.xmp,True,176861846.0,,,Unknown,False,False,,28.210400000000003,-82.35849999999999,-180.0,-180.0,True,0.1
IMG_1510.JPG,,70EE2700-E123-4AAF-85EB-1EBE0A4CD0AA,_/IMG_1510.JPG.xmp,True,122854400.47821379,,,Unknown,False,False,,27.949500000000004,-82.46119999999999,-180.0,-180.0,True,0.1
IMG_8754.HEIC,,1BDE5869-BAD8-43F8-8395-C203C1A12665,_/IMG_8754_edited (3).heic.xmp,True,166668038.45099998,,,Unknown,False,False,,0.0,0.0,-180.0,-180.0,False,0.1
IMG_8076.MOV,,03F324FD-B086-41FC-AF02-ED00E122180D,_/IMG_8076 (2).MOV.xmp,True,182274093.0,,,Unknown,False,False,,28.173299999999998,-82.35470000000001,-180.0,-180.0,True,0.1
